building_id,measurement_point_id,host,port,unit_id,channel,export_sum_status
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,432ca26e-afb5-48c2-beb5-0dec5f87a501,218.39.88.146,502,1,1,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,a037969d-fb20-4dc7-a079-1e386de4a7ac,218.39.88.146,502,1,2,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,1a11e378-8427-4057-bcd7-668f8c3d7c66,218.39.88.146,502,1,3,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,532578db-71ed-49ac-b591-3accefa96b85,218.39.88.146,502,1,4,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,ec32ea4f-8721-49b1-99af-040d72fa7b48,218.39.88.146,502,1,5,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,c66ed3e2-ba6f-4c8c-b231-45d89af28433,218.39.88.146,502,1,6,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,90ef6cbb-c397-4fdf-81ed-f650ef91346a,218.39.88.146,502,1,7,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,cca9e078-7308-46a2-9761-8052b524f931,10.1.1.2,502,1,1,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,dcc36b96-9446-4f34-98a6-2052430f10ae,10.1.1.2,502,1,2,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,336a657c-c48a-4be3-80d3-4bde66b944e8,10.1.1.2,502,1,3,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,d127a313-f61b-4719-bba8-e1d57817bb71,10.1.1.2,502,1,4,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,9af5206b-123c-4b4b-a9ed-5572c5c4ecf1,10.1.1.2,502,1,5,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,23fd1331-f63a-4dda-81a9-7486f4035e6c,10.1.1.2,502,1,6,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,f5b83bcb-d6e5-4024-8fdb-6dee13240a63,10.1.1.2,502,1,7,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,5b89b852-ad9c-4ab2-9856-877120e6a5dd,10.1.1.2,502,1,8,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,24f40f46-a1ca-454d-a47c-b5e57be575ef,10.1.1.2,502,1,9,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,bdbdc949-457a-4ff3-a5ba-97800b9e69a0,10.1.1.2,502,1,10,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,c14f624a-b8e4-4daf-b6df-79ee5920612f,10.1.1.2,502,1,11,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,a24a8f49-cd89-40c5-b9f6-c0e4d8b9c9b3,10.1.1.2,502,1,12,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,a1e2ba47-9a59-41f4-b3f2-2a3d7a266631,10.1.1.2,502,1,13,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,afb90cd6-aec3-414c-8dc2-f94a2e0cee18,10.1.1.6,502,1,1,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,d6bf9a58-762d-47af-b130-ec18f2de43bd,10.1.1.6,502,1,2,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,e8da2d8a-c05e-4bb5-b601-ea34843f2b6b,10.1.1.6,502,1,3,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,efd5d286-218c-49f7-98bc-56955429a637,10.1.1.6,502,1,4,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,9e873027-6aec-4921-ac08-e88562e855dd,10.1.1.6,502,1,5,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,5ca81d52-c7ec-415e-92e1-e211b5b2f504,10.1.1.6,502,1,6,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,11878623-6e90-4e10-adad-84446c3581ef,10.1.1.6,502,1,7,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,4201b4b2-772a-4de5-a3a9-da41a5cd4158,10.1.1.6,502,1,8,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,4b668a07-8cb5-4762-85f1-fbd9dfdbf064,10.1.1.6,502,1,9,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,5a7113fb-4da9-4947-8de7-e0d38102a347,10.1.1.6,502,1,10,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,564f48f2-434f-4faf-b2f0-c8a19c231be2,10.1.1.6,502,1,11,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,a77805a6-43db-4765-b077-7e6a11c04a7c,10.1.1.6,502,1,12,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,b6ca7803-60df-4e94-b6b5-8b8394e03f40,10.1.1.6,502,1,13,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,5f502a7f-81ee-4ff5-9d4a-a863bd085b7d,10.1.1.6,502,1,14,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,e70be2c7-fd70-4b29-94a8-ae3437062cfc,10.1.1.9,502,1,1,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,006388b8-79b0-4a01-9e6f-a8e49f9f147b,10.1.1.9,502,1,2,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,209aa6fe-62b4-4910-99ed-cb09ff943777,10.1.1.9,502,1,3,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,7899e0ec-398a-4774-a0ff-1dd947266c05,10.1.1.9,502,1,4,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,4e35e798-b60a-47a7-9a80-72d2076f1f39,10.1.1.9,502,1,5,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,0a9afe2a-f677-4dde-a533-55dcfcc6de35,10.1.1.9,502,1,6,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,4b65d03c-78ab-4f74-a8c0-5597da1c0567,10.1.1.9,502,1,7,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,880655bf-6261-4dfd-96e1-1bf6079764ac,10.1.1.9,502,1,8,false
0fb0b7f8-fcb8-4008-9e37-f6cffc0bfc03,b5b9990d-52b1-4631-9193-ac55ebced55d,10.1.1.9,502,1,9,false
